,timestamp,hashRate
0,1595210384,24910.5581463130282724
1,1595320176,26698.939813465461965
2,1595429968,30476.8106965899154767
3,1595539760,67682.12969979597785394
4,1595649552,82215.4868387496356804
5,1595759344,106290.7331044156222725
6,1595869136,121112.4635128242495016
7,1595978928,139299.7079841882833139
8,1596088720,110672.5668263625765096
9,1596198512,108357.2270292917516767
10,1596308304,98347.08749271349461045
11,1596418096,75492.0694403963858966
12,1596527888,91653.723549985426995
13,1596637680,166775.4495136257650965
14,1596747472,207708.4493861119207231
15,1596857264,218964.04241656951328147
16,1596967056,237678.4460434275721423
17,1597076848,254849.30792771786653356
18,1597186640,259208.551296997959793
19,1597296432,270505.11922544447684566
20,1597406224,278706.03594068784611357
21,1597516016,279910.6633725590207016
22,1597625808,296017.9476191343631889
23,1597735600,315647.3654000291460401
24,1597845392,320159.9099296852229894
25,1597955184,324725.29069513261441543
26,1598064976,339076.16682454095016494
27,1598174768,333998.028954750801534517
28,1598284560,325886.29564995628099094
29,1598394352,367238.540531186243104
30,1598504144,390932.02090316234335418
31,1598613936,440747.3464186825998539
32,1598723728,467028.8767851938210565
33,1598833520,504909.7916150539201473
34,1598943312,469718.617112357913152
35,1599053104,550917.08552535703878018
36,1599162896,614280.8463549256776788
37,1599272688,661058.008607184494338649
38,1599382480,696648.14051114835329176
39,1599492272,705239.05270875837952355
40,1599602064,877321.6538727776158686
41,1599711856,1003588.820460507140838
42,1599821648,1149068.47802207811139324
43,1599931440,1179726.4023608277470266
44,1600041232,1115282.5468613378024112
45,1600151024,978034.7700469979597824
46,1600260816,669261.8030639755173843
47,1600370608,629964.4666369134363319
48,1600480400,15468891.951681361120457
49,1600590192,22296318.11304102302593864
50,1600699984,32697448.45599861556399623
51,1600809776,498891576.1317035849829491
52,1600919568,1472059633.5610153745313646
53,1601029360,2202040942.07310186534543363
54,1601139152,4989221857.6389900905057329
55,1601248944,6068590753.9591500292308462
56,1601358736,10199018689.5139445497969135
57,1601468528,13838273831.9301588458907308
58,1601578320,18110213972.7394710014820453
